,RNA,Clustering File,threshold,cluster,configuration,RMSD,size
120,3npq_A,singleB,1.5,1,1,21.618667859051815,51
121,3npq_A,allA,5.5,5,1,25.05436888049667,51
122,3npq_A,allB,8.5,2,1,16.653603213719244,51
123,3npq_A,allB,2.5,3,1,21.518134212798284,51
124,3npq_A,singleA,4.5,4,1,20.497573027068352,51
125,3npq_A,singleA,5.0,3,1,23.05237731775185,51
126,3npq_A,singleB,9.0,1,1,22.30834373054172,51
127,3npq_A,singleA,7.0,1,1,22.74233057538299,51
128,3npq_A,singleA,3.0,1,1,22.08662038429601,51
129,3npq_A,allB,7.0,3,1,25.05436888049667,51
130,3npq_A,allB,8.0,1,1,23.379148829672992,51
131,3npq_A,singleB,3.5,3,1,21.192838413011128,51
132,3npq_A,singleA,6.0,3,1,22.327310630705167,51
133,3npq_A,singleA,6.5,1,1,22.74233057538299,51
134,3npq_A,singleA,9.0,2,1,17.254582000152887,51
135,3npq_A,allA,2.5,4,1,21.337417838154643,51
136,3npq_A,allB,5.5,4,1,20.671250566910555,51
137,3npq_A,allB,2.5,5,1,21.78365901312266,51
138,3npq_A,singleB,5.0,5,1,24.808956044138576,51
139,3npq_A,allB,4.0,3,1,24.118107305508033,51
140,3npq_A,singleB,10.0,2,1,16.653603213719244,51
141,3npq_A,singleB,2.5,5,1,23.34588400553725,51
142,3npq_A,allB,1.5,5,1,22.37842264325169,51
143,3npq_A,allB,2.0,4,1,24.808956044138576,51
144,3npq_A,singleA,2.0,3,1,21.618667859051815,51
145,3npq_A,allB,5.0,1,1,22.343379332589777,51
146,3npq_A,allB,2.0,3,1,22.30834373054172,51
147,3npq_A,singleA,3.0,4,1,21.994487945846796,51
148,3npq_A,singleA,7.5,2,1,16.663144961261064,51
149,3npq_A,singleA,8.5,2,1,17.254582000152887,51
150,3npq_A,singleA,5.0,5,1,25.05436888049667,51
151,3npq_A,allA,1.5,3,1,20.91824562433475,51
152,3npq_A,allA,5.5,1,1,22.343379332589777,51
153,3npq_A,allB,6.0,2,1,20.172027662086922,51
154,3npq_A,singleA,8.5,1,1,20.962917258816816,51
155,3npq_A,singleA,3.5,4,1,23.05237731775185,51
156,3npq_A,singleB,1.0,2,1,22.343379332589777,51
157,3npq_A,singleA,2.5,2,1,21.994487945846796,51
158,3npq_A,allA,1.5,4,1,22.08662038429601,51
159,3npq_A,allB,1.0,3,1,23.40531777182271,51
160,3npq_A,singleB,4.0,5,1,23.476437123209305,51
161,3npq_A,allA,10.0,1,1,22.17427789128656,51
162,3npq_A,singleA,1.0,5,1,20.497573027068352,51
163,3npq_A,allA,8.0,1,1,22.343379332589777,51
164,3npq_A,allB,10.0,1,1,22.30834373054172,51
165,3npq_A,singleB,4.5,4,1,24.808956044138576,51
166,3npq_A,allB,9.5,1,1,22.17427789128656,51
167,3npq_A,singleB,1.5,4,1,22.195594157399796,51
168,3npq_A,allB,5.0,3,1,21.192838413011128,51
169,3npq_A,allA,4.0,2,1,21.618667859051815,51
170,3npq_A,singleA,5.5,3,1,23.251505327612662,51
171,3npq_A,allB,4.0,1,1,22.343379332589777,51
172,3npq_A,singleA,4.0,2,1,21.618667859051815,51
173,3npq_A,singleB,2.0,4,1,21.41851068585302,51
174,3npq_A,singleB,3.5,5,1,21.357764396115996,51
175,3npq_A,allB,1.5,3,1,22.6334906720108,51
176,3npq_A,singleA,3.5,3,1,22.184920554286418,51
177,3npq_A,singleA,6.5,5,1,22.273306894127778,51
178,3npq_A,allB,3.0,3,1,21.192838413011128,51
179,3npq_A,singleB,2.0,3,1,22.195594157399796,51
180,3npq_A,singleB,1.0,1,1,20.682596548789515,51
181,3npq_A,allB,6.5,3,1,25.05436888049667,51
182,3npq_A,singleB,2.5,4,1,20.91824562433475,51
183,3npq_A,allA,3.5,1,1,22.30834373054172,51
184,3npq_A,allA,4.0,1,1,22.343379332589777,51
185,3npq_A,singleA,1.5,2,1,22.273306894127778,51
186,3npq_A,allA,1.0,1,1,21.99901361425098,51
187,3npq_A,allB,2.5,1,1,22.385774500785093,51
188,3npq_A,singleA,2.0,2,1,22.195594157399796,51
189,3npq_A,allA,1.5,1,1,21.618667859051815,51
190,3npq_A,singleB,4.5,3,1,24.118107305508033,51
191,3npq_A,allA,5.0,3,1,23.05237731775185,51
192,3npq_A,allA,8.0,3,1,22.273306894127778,51
193,3npq_A,singleB,2.5,3,1,21.618667859051815,51
194,3npq_A,singleB,2.5,1,1,22.385774500785093,51
195,3npq_A,allA,3.5,3,1,22.184920554286418,51
196,3npq_A,singleA,7.5,4,1,24.69450748648371,51
197,3npq_A,singleB,7.0,1,1,22.57908102647227,51
198,3npq_A,singleB,3.0,3,1,21.192838413011128,51
199,3npq_A,singleA,4.5,5,1,24.808956044138576,51
200,3npq_A,singleA,9.0,1,1,22.17427789128656,51
201,3npq_A,singleB,3.5,1,1,22.17427789128656,51
202,3npq_A,allA,3.5,5,1,21.943563976710802,51
203,3npq_A,allA,7.5,5,1,24.69450748648371,51
204,3npq_A,singleB,3.0,2,1,21.41851068585302,51
205,3npq_A,allA,9.0,2,1,16.653603213719244,51
206,3npq_A,allB,2.5,2,1,21.94047857272033,51
207,3npq_A,allB,7.5,2,1,20.172027662086922,51
208,3npq_A,allA,9.0,1,1,22.17427789128656,51
209,3npq_A,allA,4.5,4,1,20.497573027068352,51
210,3npq_A,allA,6.0,3,1,22.327310630705167,51
211,3npq_A,allA,4.0,5,1,23.05237731775185,51
212,3npq_A,singleA,4.0,3,1,21.389899485504834,51
213,3npq_A,allA,10.0,2,1,17.254582000152887,51
214,3npq_A,allA,6.5,3,1,16.663144961261064,51
215,3npq_A,allA,6.0,4,1,17.254582000152887,51
216,3npq_A,singleA,2.0,4,1,22.385774500785093,51
217,3npq_A,singleB,5.5,3,1,24.808956044138576,51
218,3npq_A,allA,9.5,2,1,16.445981272031172,51
219,3npq_A,singleB,4.0,2,1,21.192838413011128,51
220,3npq_A,singleA,5.5,2,1,24.64848271192367,51
221,3npq_A,singleB,1.5,2,1,24.808956044138576,51
222,3npq_A,allB,4.5,1,1,22.343379332589777,51
223,3npq_A,singleB,3.0,5,1,21.518134212798284,51
224,3npq_A,singleA,5.5,4,1,16.663144961261064,51
225,3npq_A,allB,3.0,1,1,22.08662038429601,51
226,3npq_A,allA,5.0,1,1,22.343379332589777,51
227,3npq_A,allA,2.5,1,1,22.385774500785093,51
228,3npq_A,allB,1.5,1,1,21.518134212798284,51
229,3npq_A,singleA,4.0,5,1,23.05237731775185,51
230,3npq_A,singleB,5.0,2,1,23.476437123209305,51
231,3npq_A,allA,3.0,5,1,21.41851068585302,51
232,3npq_A,singleB,8.0,1,1,22.17427789128656,51
233,3npq_A,allA,2.5,5,1,22.590728186581327,51
234,3npq_A,singleA,4.0,4,1,24.64848271192367,51
235,3npq_A,allB,3.0,5,1,21.518134212798284,51
236,3npq_A,allB,3.5,1,1,22.385774500785093,51
237,3npq_A,singleA,9.5,2,1,16.653603213719244,51
238,3npq_A,singleA,1.0,1,1,22.385774500785093,51
239,3npq_A,allB,5.5,3,1,24.808956044138576,51
240,3npq_A,allB,6.5,5,1,16.653603213719244,51
241,3npq_A,allA,7.5,2,1,16.663144961261064,51
242,3npq_A,singleA,2.5,1,1,22.385774500785093,51
243,3npq_A,singleA,3.0,3,1,21.192838413011128,51
244,3npq_A,singleB,6.0,5,1,20.671250566910555,51
245,3npq_A,singleB,5.0,4,1,23.185715429979727,51
246,3npq_A,allB,4.0,4,1,21.518134212798284,51
247,3npq_A,allA,2.5,2,1,21.943563976710802,51
248,3npq_A,singleB,3.5,2,1,21.53311867798067,51
249,3npq_A,singleA,10.0,1,1,22.691095169691568,51
250,3npq_A,singleA,5.0,2,1,24.64848271192367,51
251,3npq_A,allA,1.0,5,1,22.523967234925557,51
252,3npq_A,allB,7.0,4,1,16.653603213719244,51
253,3npq_A,allA,6.5,4,1,22.522360000674887,51
254,3npq_A,allB,1.5,2,1,23.185715429979727,51
255,3npq_A,singleA,4.5,1,1,22.343379332589777,51
256,3npq_A,singleB,5.0,1,1,22.343379332589777,51
257,3npq_A,allB,10.0,2,1,16.653603213719244,51
258,3npq_A,singleB,6.5,5,1,25.05436888049667,51
259,3npq_A,singleA,3.5,1,1,22.30834373054172,51
260,3npq_A,singleA,1.0,2,1,23.34588400553725,51
261,3npq_A,allA,4.5,3,1,23.05237731775185,51
262,3npq_A,allB,5.0,2,1,23.476437123209305,51
263,3npq_A,allB,9.0,1,1,21.686295211492443,51
264,3npq_A,singleB,5.5,2,1,23.40531777182271,51
265,3npq_A,singleA,10.0,2,1,17.199450572620044,51
266,3npq_A,singleB,6.5,3,1,20.172027662086922,51
267,3npq_A,allB,6.0,4,1,24.808956044138576,51
268,3npq_A,allB,4.0,2,1,21.192838413011128,51
269,3npq_A,allA,2.0,3,1,21.994487945846796,51
270,3npq_A,allA,5.5,4,1,16.663144961261064,51
271,3npq_A,allB,8.5,1,1,22.57908102647227,51
272,3npq_A,singleA,7.5,5,1,22.522360000674887,51
273,3npq_A,singleB,2.0,1,1,21.618667859051815,51
274,3npq_A,singleA,7.0,5,1,24.69450748648371,51
275,3npq_A,allB,5.5,1,1,22.343379332589777,51
276,3npq_A,allA,1.5,5,1,16.445981272031172,51
277,3npq_A,singleA,7.0,4,1,20.052511064702095,51
278,3npq_A,allB,6.0,5,1,20.671250566910555,51
279,3npq_A,allB,3.5,2,1,21.192838413011128,51
280,3npq_A,allB,7.5,3,1,16.653603213719244,51
281,3npq_A,singleA,6.0,1,1,22.343379332589777,51
282,3npq_A,singleA,2.0,5,1,23.379148829672992,51
283,3npq_A,allA,8.5,2,1,17.199450572620044,51
284,3npq_A,allA,5.0,4,1,20.052511064702095,51
285,3npq_A,singleB,8.5,2,1,16.653603213719244,51
286,3npq_A,singleB,1.0,4,1,23.476437123209305,51
287,3npq_A,allB,3.5,3,1,21.88408554178127,51
288,3npq_A,allA,8.0,2,1,17.254582000152887,51
289,3npq_A,singleB,7.5,3,1,16.653603213719244,51
290,3npq_A,singleB,4.5,1,1,22.343379332589777,51
291,3npq_A,allB,1.0,5,1,21.94047857272033,51
292,3npq_A,singleA,3.0,2,1,21.771945250711983,51
293,3npq_A,allB,3.0,4,1,21.994487945846796,51
294,3npq_A,allA,6.5,1,1,22.74233057538299,51
295,3npq_A,allA,3.0,4,1,21.994487945846796,51
296,3npq_A,allA,2.0,5,1,23.05237731775185,51
297,3npq_A,singleB,8.5,1,1,21.337417838154643,51
298,3npq_A,allA,2.5,3,1,22.6334906720108,51
299,3npq_A,allA,2.0,1,1,22.37842264325169,51
300,3npq_A,singleA,7.5,1,1,22.74233057538299,51
301,3npq_A,allA,5.0,5,1,25.05436888049667,51
302,3npq_A,allA,8.0,4,1,22.522360000674887,51
303,3npq_A,singleA,5.0,4,1,21.192838413011128,51
304,3npq_A,allB,1.0,1,1,22.396309963920395,51
305,3npq_A,singleA,5.5,5,1,20.052511064702095,51
306,3npq_A,allB,4.5,3,1,23.476437123209305,51
307,3npq_A,singleB,3.5,4,1,24.438704957505422,51
308,3npq_A,allB,2.5,4,1,21.389899485504834,51
309,3npq_A,singleB,10.0,1,1,22.17427789128656,51
310,3npq_A,singleA,7.5,3,1,20.172027662086922,51
311,3npq_A,singleA,1.5,1,1,21.518134212798284,51
312,3npq_A,allA,3.0,2,1,21.771945250711983,51
313,3npq_A,singleB,7.0,4,1,25.05436888049667,51
314,3npq_A,allB,5.0,4,1,25.05436888049667,51
315,3npq_A,singleA,6.5,3,1,16.663144961261064,51
316,3npq_A,allB,7.0,2,1,20.172027662086922,51
317,3npq_A,singleB,7.0,2,1,20.172027662086922,51
318,3npq_A,allB,2.0,2,1,21.618667859051815,51
319,3npq_A,singleA,7.0,3,1,23.202560203563742,51
320,2h0s_B,allA,6.0,5,1,43.206711284243795,123
321,2h0s_B,allA,6.5,5,1,42.30934884868827,123
322,2h0s_B,singleA,1.5,3,1,28.954725003011166,123
323,2h0s_B,singleB,10.0,4,1,44.406133585350574,123
324,2h0s_B,singleA,1.5,5,1,44.406133585350574,123
325,2h0s_B,singleB,1.5,3,1,29.09758924722115,123
326,2h0s_B,allA,6.0,1,1,27.3219142813969,123
327,2h0s_B,singleB,6.0,2,1,28.47552808992311,123
328,2h0s_B,singleB,8.0,2,1,44.39764971256925,123
329,2h0s_B,singleB,5.5,1,1,26.552397255238557,123
330,2h0s_B,allA,1.0,3,1,28.04373013705559,123
331,2h0s_B,singleB,1.0,5,1,40.9282225365334,123
332,2h0s_B,singleA,6.0,4,1,43.206711284243795,123
333,2h0s_B,singleB,4.5,2,1,27.3219142813969,123
334,2h0s_B,singleA,8.5,3,1,43.7393712803465,123
335,2h0s_B,allB,4.5,2,1,27.43977405154787,123
336,2h0s_B,singleA,6.0,5,1,26.11932617813867,123
337,2h0s_B,allA,9.0,3,1,43.332653969033565,123
338,2h0s_B,singleA,7.0,2,1,29.483339363104715,123
339,2h0s_B,allB,3.5,5,1,28.11385067898028,123
340,2h0s_B,allB,6.0,1,1,27.3219142813969,123
341,2h0s_B,singleA,2.0,1,1,27.650565997823627,123
342,2h0s_B,singleA,8.0,4,1,26.378701635978977,123
343,2h0s_B,singleB,1.5,5,1,26.896841822042976,123
344,2h0s_B,allB,6.5,2,1,26.561692340662333,123
345,2h0s_B,allB,2.0,5,1,44.406133585350574,123
346,2h0s_B,allA,7.0,2,1,29.483339363104715,123
347,2h0s_B,singleB,10.0,3,1,40.9282225365334,123
348,2h0s_B,singleA,4.0,1,1,26.8149566473638,123
349,2h0s_B,singleA,5.5,1,1,27.515361164266043,123
350,2h0s_B,singleA,10.0,5,1,29.28428759591054,123
351,2h0s_B,allA,3.0,3,1,26.907116159113002,123
352,2h0s_B,singleA,9.0,5,1,41.88831221235824,123
353,2h0s_B,allB,10.0,5,1,31.741724905871138,123
354,2h0s_B,allB,5.5,2,1,26.8149566473638,123
355,2h0s_B,singleA,8.0,2,1,28.52823338379017,123
356,2h0s_B,allB,9.0,4,1,31.207128993228455,123
357,2h0s_B,allA,4.5,5,1,28.399904929418337,123
358,2h0s_B,allB,3.0,2,1,27.3219142813969,123
359,2h0s_B,singleA,4.5,2,1,26.783216759754605,123
360,2h0s_B,allA,8.0,5,1,36.07936945125289,123
361,2h0s_B,allA,7.5,1,1,27.512498977737373,123
362,2h0s_B,allB,1.5,4,1,28.276527368119304,123
363,2h0s_B,allA,8.5,4,1,43.7393712803465,123
364,2h0s_B,allA,3.0,1,1,28.399904929418337,123
365,2h0s_B,allA,6.5,2,1,29.483339363104715,123
366,2h0s_B,singleA,2.5,5,1,43.206711284243795,123
367,2h0s_B,singleB,5.5,4,1,44.57378265303496,123
368,2h0s_B,allB,9.5,3,1,36.19965607571431,123
369,2h0s_B,singleB,7.5,2,1,44.39764971256925,123
370,2h0s_B,singleA,3.5,5,1,26.87004279862613,123
371,2h0s_B,allA,3.5,4,1,42.85966285448359,123
372,2h0s_B,allB,10.0,3,1,36.19965607571431,123
373,2h0s_B,allB,6.0,3,1,44.39764971256925,123
374,2h0s_B,allA,8.5,3,1,30.15150576671089,123
375,2h0s_B,singleB,9.0,2,1,43.7393712803465,123
376,2h0s_B,allB,5.5,5,1,28.48060392618106,123
377,2h0s_B,singleB,9.5,1,1,27.512498977737373,123
378,2h0s_B,singleB,7.5,1,1,26.830085724797826,123
379,2h0s_B,allA,7.5,3,1,36.86270066069495,123
380,2h0s_B,singleA,10.0,3,1,39.53140017758035,123
381,2h0s_B,allB,2.0,1,1,27.650565997823627,123
382,2h0s_B,singleA,6.5,4,1,42.30934884868827,123
383,2h0s_B,singleA,3.5,2,1,28.504752235372965,123
384,2h0s_B,singleB,9.5,4,1,40.9282225365334,123
385,2h0s_B,allA,1.5,2,1,28.224739148484613,123
386,2h0s_B,singleA,1.0,3,1,26.006418438531668,123
387,2h0s_B,singleB,9.5,2,1,43.206711284243795,123
388,2h0s_B,allB,4.0,5,1,29.09758924722115,123
389,2h0s_B,singleB,7.5,5,1,41.88831221235824,123
390,2h0s_B,allB,8.0,2,1,44.39764971256925,123
391,2h0s_B,singleB,3.0,1,1,27.43977405154787,123
392,2h0s_B,allB,9.0,2,1,44.39764971256925,123
393,2h0s_B,allB,1.0,2,1,28.263133230411665,123
394,2h0s_B,allB,6.5,4,1,28.202959064608805,123
395,2h0s_B,allA,8.5,1,1,27.512498977737373,123
396,2h0s_B,singleB,4.0,4,1,27.650565997823627,123
397,2h0s_B,allA,7.0,1,1,27.512498977737373,123
398,2h0s_B,allB,7.0,1,1,27.512498977737373,123
399,2h0s_B,singleA,4.5,3,1,28.47552808992311,123
400,2h0s_B,allB,3.5,4,1,40.9282225365334,123
401,2h0s_B,singleB,4.0,1,1,26.87004279862613,123
402,2h0s_B,singleB,8.0,4,1,41.67109309821378,123
403,2h0s_B,singleA,5.0,1,1,26.561692340662333,123
404,2h0s_B,singleB,6.5,1,1,27.3219142813969,123
405,2h0s_B,allB,1.0,4,1,43.332653969033565,123
406,2h0s_B,allA,7.0,3,1,43.206711284243795,123
407,2h0s_B,singleA,1.0,4,1,27.23231536245128,123
408,2h0s_B,allB,5.0,5,1,43.7393712803465,123
409,2h0s_B,allB,4.5,5,1,29.22877349462341,123
410,2h0s_B,allA,5.5,3,1,28.04373013705559,123
411,2h0s_B,allA,2.0,2,1,26.378701635978977,123
412,2h0s_B,singleA,9.5,1,1,27.512498977737373,123
413,2h0s_B,singleB,9.0,5,1,40.9282225365334,123
414,2h0s_B,singleB,1.0,3,1,26.60929161026276,123
415,2h0s_B,allA,7.5,4,1,42.30934884868827,123
416,2h0s_B,singleB,8.0,5,1,27.885483678788862,123
417,2h0s_B,singleA,2.5,4,1,28.210384612762727,123
418,2h0s_B,allA,3.5,2,1,26.87004279862613,123
419,2h0s_B,singleB,2.0,5,1,27.512498977737373,123
420,2h0s_B,singleA,8.0,3,1,42.85966285448359,123
421,2h0s_B,singleB,4.5,5,1,27.00365345652325,123
422,2h0s_B,allA,4.5,2,1,28.47552808992311,123
423,2h0s_B,allA,4.5,1,1,28.54355268707804,123
424,2h0s_B,singleA,2.5,3,1,27.225620286781346,123
425,2h0s_B,allB,4.5,4,1,27.3219142813969,123
426,2h0s_B,singleB,3.0,4,1,28.47552808992311,123
427,2h0s_B,allA,1.0,2,1,42.85966285448359,123
428,2h0s_B,singleB,6.0,3,1,43.206711284243795,123
429,2h0s_B,singleB,7.0,3,1,42.30934884868827,123
430,2h0s_B,singleA,6.0,2,1,29.483339363104715,123
431,2h0s_B,singleB,2.0,2,1,29.975965372277837,123
432,2h0s_B,singleB,6.5,4,1,28.202959064608805,123
433,2h0s_B,allA,9.5,1,1,27.512498977737373,123
434,2h0s_B,singleA,6.5,2,1,29.483339363104715,123
435,2h0s_B,allA,7.0,5,1,35.29883142541691,123
436,2h0s_B,singleA,9.0,3,1,29.9770929210956,123
437,2h0s_B,singleB,6.0,4,1,29.22877349462341,123
438,2h0s_B,allA,5.5,2,1,27.691753285048602,123
439,2h0s_B,allA,5.0,2,1,27.3219142813969,123
440,2h0s_B,allB,6.5,1,1,27.3219142813969,123
441,2h0s_B,allA,4.0,4,1,26.896841822042976,123
442,2h0s_B,allA,1.0,4,1,29.975965372277837,123
443,2h0s_B,singleB,6.5,2,1,26.561692340662333,123
444,2h0s_B,allA,7.0,4,1,26.3469789539522,123
445,2h0s_B,allA,6.0,2,1,28.48060392618106,123
446,2h0s_B,singleB,2.5,2,1,43.206711284243795,123
447,2h0s_B,allB,8.5,5,1,44.406133585350574,123
448,2h0s_B,singleA,1.5,4,1,26.896841822042976,123
449,2h0s_B,allA,10.0,3,1,43.7393712803465,123
450,2h0s_B,singleA,8.0,1,1,27.512498977737373,123
451,2h0s_B,allB,9.0,3,1,36.19965607571431,123
452,2h0s_B,singleA,3.0,5,1,40.871479053246894,123
453,2h0s_B,allB,9.5,2,1,43.206711284243795,123
454,2h0s_B,allA,4.0,3,1,42.85966285448359,123
455,2h0s_B,allB,7.5,1,1,26.830085724797826,123
456,2h0s_B,singleB,5.0,3,1,43.7393712803465,123
457,2h0s_B,allA,2.0,4,1,26.907116159113002,123
458,2h0s_B,singleB,5.5,5,1,28.48060392618106,123
459,2h0s_B,singleB,6.0,1,1,27.3219142813969,123
460,2h0s_B,singleB,4.0,3,1,27.3219142813969,123
461,2h0s_B,singleB,1.5,1,1,40.9282225365334,123
462,2h0s_B,allA,5.5,5,1,28.517904902008492,123
463,2h0s_B,allB,8.5,2,1,43.7393712803465,123
464,2h0s_B,allB,2.5,3,1,42.30934884868827,123
465,2h0s_B,singleA,4.5,4,1,26.8149566473638,123
466,2h0s_B,singleA,5.0,3,1,27.00365345652325,123
